"TERM DESCRIPTION","TERM","SESSION","SESSION DESCRIPTION","DEPARTMENT","SUBJECT","COURSE","CLASS/SECTION NBR","COURSE DESCRIPTION","INSTRUCTOR NAME","GPA GRADES","TOTAL GRADES","SMALL CLASS NOTATION","AVG SECT GPA","AVG STDNT CUM GPA","PERCENT MAJORS","A%","B%","C%","D%","OTHERCNT","A+","A","A-","B+","B","B-","C+","C","C-","D+","D","D-","F","W","WX","I","R","P","S","NY","NR","NC","OTHER","EFFECTIVE DATE"
"SU21","4215","1","Regular Academic Session","INFO","INFO-I","491","6011","CAPSTONE PROJECT INTERNSHIP","Paul,LJ","12","51",""," 3.317"," 3.326","98","58.3","25.0","16.7","0.0","39","0","4","3","0","3","0","0","1","1","0","0","0","0","1","0","0","38","0","0","0","0","0","0","09-10-2021"
"SU21","4215","6W2","Six Week - Second","INFO","INFO-I","493","4302","SENIOR THESIS","Su,Norman","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","1","Regular Academic Session","INFO","INFO-I","499","4303","RDNGS & RSRCH IN INFORMATICS","Su,Norman","1","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W2","Six Week - Second","INFO","INFO-I","516","13147","INFO IN DISASTER & EMERGENCY","Wild,David John","9","9",""," 3.533"," 3.642","44.4","66.7","33.3","0.0","0.0","0","2","1","3","0","2","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","6W1","Six Week - First","INFO","INFO-I","590","15037","TOPICS IN INFORMATICS","Sabanovic,Selma","29","30",""," 3.917"," 3.816","44.8","89.7","10.3","0.0","0.0","1","23","2","1","3","0","0","0","0","0","0","0","0","0","0","1","0","0","0","0","0","0","0","0","09-10-2021"
"SU21","4215","6W2","Six Week - Second","INFO","INFO-I","698","5121","RESEARCH IN INFORMATICS","Sugimoto,Cassidy Rose","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W2","Six Week - Second","INFO","INFO-I","790","5300","INFORMATICS RESEARCH ROTATION","Sugimoto,Cassidy Rose","2","5","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W1","Six Week - First","INFO","INFO-I","790","5347","INFORMATICS RESEARCH ROTATION","Sugimoto,Cassidy Rose","1","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W2","Six Week - Second","INFO","INFO-I","798","5354","PROFESSIONAL PRACT/INTERNSHIP","Sugimoto,Cassidy Rose","0","4","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W1","Six Week - First","INFO","INFO-I","890","5120","THESIS READINGS AND RESEARCH","Sugimoto,Cassidy Rose","0","2","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W2","Six Week - Second","INFO","INFO-I","890","5124","THESIS READINGS AND RESEARCH","Sugimoto,Cassidy Rose","1","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SU21","4215","6W1","Six Week - First","INFO","INFO-I","890","5322","THESIS READINGS AND RESEARCH","Sugimoto,Cassidy Rose","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","09-10-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-G","901","4622","ADVANCED RESEARCH","Sugimoto,Cassidy Rose","4","30","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","101","34604","INTRODUCTION TO INFORMATICS","McCoy,Chase","100","130",""," 3.405"," 3.154","0.8","66.0","20.0","6.0","6.0","32","30","28","8","8","4","8","2","4","0","3","1","2","2","20","8","2","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","101","5081","INTRODUCTION TO INFORMATICS","McCoy,Chase","118","157",""," 3.288"," 3.063","1.4","61.0","22.9","7.6","3.4","45","21","37","14","12","10","5","0","6","3","1","2","1","6","30","9","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","101","5999","INTRODUCTION TO INFORMATICS","McCoy,Chase","55","71",""," 2.875"," 2.978","3.2","50.9","20.0","12.7","0.0","25","10","9","9","6","3","2","3","3","1","0","0","0","9","8","8","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","123","10767","DATA FLUENCY","Milojevic,Stasa","51","62",""," 3.706"," 3.350","42.1","78.4","19.6","2.0","0.0","11","12","22","6","2","3","5","0","0","1","0","0","0","0","5","5","1","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","8W2","Eight Week - Second","INFO","INFO-I","130","4284","INTRODUCTION TO CYBERSECURITY","Duncan,J","22","27",""," 3.141"," 3.176","41.7","63.6","18.2","4.5","0.0","8","6","5","3","1","1","2","1","0","0","0","0","0","3","2","3","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","8W1","Eight Week - First","INFO","INFO-I","130","7729","INTRODUCTION TO CYBERSECURITY","Duncan,J","46","52",""," 3.357"," 3.160","69.4","67.4","15.2","10.9","0.0","9","20","8","3","2","5","0","1","2","2","0","0","0","3","3","3","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","200","31526","EXPLORATIONS IN INFORMATICS","Frischer,Bernard","10","12",""," 3.660"," 2.991","20","60.0","40.0","0.0","0.0","2","0","5","1","3","1","0","0","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","3W1","Three Week","INFO","INFO-I","200","37087","EXPLORATIONS IN INFORMATICS","Lee,Erika Biga","10","13",""," 3.440"," 3.431","61.5","80.0","10.0","0.0","0.0","4","3","3","2","0","1","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","201","2584","MATH FOUNDATNS OF INFORMATICS","Kavousian,Shabnam","60","61",""," 3.345"," 3.288","80","53.3","35.0","6.7","3.3","2","5","16","11","13","5","3","1","1","2","1","1","0","1","0","1","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","201","34614","MATH FOUNDATNS OF INFORMATICS","Kavousian,Shabnam","39","39",""," 3.664"," 3.294","61.5","74.4","23.1","2.6","0.0","0","7","12","10","4","4","1","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","201","6855","MATH FOUNDATNS OF INFORMATICS","Flammini,Alessandro","35","38",""," 3.417"," 3.154","50","54.3","34.3","8.6","2.9","3","5","12","2","4","6","2","2","1","0","0","1","0","0","1","2","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","201","7446","MATH FOUNDATNS OF INFORMATICS","Stark,Roderick B","43","43",""," 3.633"," 3.297","60.5","72.1","23.3","4.7","0.0","0","7","11","13","5","5","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","201","7814","MATH FOUNDATNS OF INFORMATICS","Stark,Roderick B","20","23",""," 3.625"," 3.168","45","70.0","30.0","0.0","0.0","3","2","9","3","1","2","3","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","202","31509","SOCIAL INFORMATICS","Terrell,Jennifer Anne","79","84",""," 3.123"," 3.139","46.9","58.2","15.2","15.2","3.8","11","19","20","7","4","6","2","6","5","1","0","2","1","6","1","3","1","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","202","6858","SOCIAL INFORMATICS","Terrell,Jennifer Anne","89","94",""," 3.492"," 3.286","59.8","64.0","27.0","6.7","0.0","7","24","21","12","11","10","3","3","0","3","0","0","0","2","1","2","2","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","202","9655","SOCIAL INFORMATICS","McCoy,Chase","58","59",""," 3.559"," 3.294","58.6","74.1","19.0","3.4","1.7","2","18","12","13","1","8","2","1","1","0","1","0","0","1","0","1","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","210","2585","INFORMATION INFRASTRUCTURE I","Duncan,J","42","55",""," 2.740"," 2.995","86.8","38.1","21.4","26.2","7.1","16","3","7","6","3","4","2","4","4","3","1","2","0","3","11","2","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","210","4742","INFORMATION INFRASTRUCTURE I","Pierz,Daniel Matthew","44","56",""," 2.761"," 3.081","85.2","43.2","15.9","27.3","4.5","16","6","7","6","4","1","2","3","5","4","0","2","0","4","10","2","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","210","6859","INFORMATION INFRASTRUCTURE I","Kavousian,Shabnam","49","60",""," 2.994"," 3.017","86.4","36.7","40.8","14.3","2.0","14","6","6","6","6","10","4","3","3","1","1","0","0","3","10","1","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","210","7820","INFORMATION INFRASTRUCTURE I","Bollen,Johan L.","30","32",""," 2.793"," 3.232","84.4","46.7","20.0","16.7","3.3","6","5","7","2","1","3","2","1","2","2","0","1","0","4","2","0","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","211","2589","INFORMATION INFRASTRUCTURE II","Demarest,Bradford Finch","58","60",""," 3.640"," 3.275","95","77.6","17.2","1.7","0.0","4","34","6","5","4","3","3","1","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","211","4602","INFORMATION INFRASTRUCTURE II","Pierz,Daniel Matthew","48","49",""," 3.571"," 3.250","91.8","75.0","16.7","4.2","0.0","3","28","6","2","2","3","3","1","1","0","0","0","0","2","1","0","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","211","7696","INFORMATION INFRASTRUCTURE II","Hottell,Matthew","37","39",""," 3.749"," 3.189","84.6","81.1","13.5","5.4","0.0","2","16","9","5","3","2","0","1","1","0","0","0","0","0","0","0","2","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","211","8117","INFORMATION INFRASTRUCTURE II","Demarest,Bradford Finch","38","38",""," 3.634"," 3.417","94.7","86.8","5.3","0.0","2.6","2","27","3","3","1","1","0","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","230","9268","ANALYTICAL FOUNDTN OF SECURITY","Seiffert,Kurt A","41","46",""," 3.139"," 3.241","51.1","56.1","24.4","12.2","0.0","8","2","10","11","3","2","5","3","1","1","0","0","0","3","3","1","1","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","231","13381","INTRO:MATH OF CYBERSECURITY","Camp,L Jean","34","39",""," 3.344"," 3.240","78.9","38.2","58.8","2.9","0.0","5","1","8","4","6","10","4","1","0","0","0","0","0","0","4","1","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","245","29771","INTERACTION DESIGN THINKING","Richert,Daniel John","12","16",""," 3.708"," 3.271","50","58.3","41.7","0.0","0.0","4","5","2","0","5","0","0","0","0","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","300","7376","HCI/INTERACTION DESIGN","Siek,Katie A.","77","100",""," 3.432"," 3.186","77","62.3","24.7","11.7","0.0","24","12","21","15","6","9","4","5","3","1","0","0","0","1","19","0","4","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","300","7855","HCI/INTERACTION DESIGN","Hunsucker,Andy Joseph","39","42",""," 3.395"," 3.044","90.5","61.5","28.2","5.1","0.0","5","11","8","5","4","4","3","2","0","0","0","0","0","2","2","0","1","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","300","9343","HCI/INTERACTION DESIGN","Siek,Katie A.","34","44",""," 3.300"," 3.154","95.2","52.9","35.3","8.8","0.0","11","7","5","6","3","5","4","2","0","1","0","0","0","1","7","2","1","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","8W1","Eight Week - First","INFO","INFO-I","301","11108","PRESENTATIONS FOR IT PROFNLS","Onesti,Nina Soo","39","43",""," 3.933"," 3.216","97.5","94.9","5.1","0.0","0.0","4","3","31","3","1","1","0","0","0","0","0","0","0","0","1","3","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","303","6862","ORGANIZATIONAL INFORMATICS","Paul,LJ","59","61",""," 3.554"," 3.364","79.7","61.0","33.9","5.1","0.0","2","4","21","11","10","9","1","1","2","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","308","2593","INFORMATION REPRESENTATION","Stark,Roderick B","46","49",""," 3.361"," 3.326","91.7","47.8","43.5","6.5","0.0","4","2","15","5","6","13","1","2","1","0","0","0","0","1","2","1","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","308","5519","INFORMATION REPRESENTATION","Stark,Roderick B","44","48",""," 3.130"," 3.142","97.8","36.4","50.0","6.8","4.5","5","1","8","7","10","7","5","1","2","0","0","2","0","1","1","3","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","308","6863","INFORMATION REPRESENTATION","Paul,LJ","22","25",""," 2.714"," 3.168","100","22.7","40.9","27.3","4.5","4","0","1","4","3","4","2","2","4","0","0","1","0","1","2","1","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","308","7683","INFORMATION REPRESENTATION","Richert,Daniel John","54","56",""," 3.200"," 3.366","87","48.1","35.2","9.3","5.6","3","3","11","12","8","9","2","1","3","1","2","1","0","1","0","2","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","308","9340","INFORMATION REPRESENTATION","Hottell,Matthew","45","50",""," 2.631"," 3.033","93.8","8.9","48.9","35.6","4.4","6","0","2","2","8","13","1","5","8","3","1","1","0","1","0","2","3","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","310","4885","MULTIMEDIA ARTS AND TECHNOLOGY","Maestre,Juan Fernando","107","121",""," 3.698"," 3.224","86.4","83.2","12.1","0.9","1.9","16","40","34","15","5","6","2","1","0","0","0","2","0","2","11","3","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","311","10771","APPLICATION DEVELOPMENT","Duncan,J","17","25",""," 3.512"," 3.223","77.3","70.6","23.5","0.0","0.0","9","6","5","1","1","2","1","0","0","0","0","0","0","1","5","3","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","311","10773","APPLICATION DEVELOPMENT","Duncan,J","15","26",""," 3.693"," 3.253","92","73.3","26.7","0.0","0.0","11","5","4","2","0","4","0","0","0","0","0","0","0","0","10","1","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","341","13063","PROTOTYPING WITH ARDUINO TOOLS","Francisco,Matthew","20","22",""," 3.715"," 3.006","100","75.0","20.0","5.0","0.0","2","6","9","0","1","2","1","1","0","0","0","0","0","0","2","0","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","341","34629","PROTOTYPING WITH ARDUINO TOOLS","Francisco,Matthew","22","23",""," 3.668"," 3.280","78.3","72.7","22.7","4.5","0.0","1","13","3","0","1","3","1","0","0","1","0","0","0","0","1","0","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","342","11128","MOBILE PROGRAMMING I","Connelly,Katherine Hane","11","17",""," 3.727"," 3.190","92.9","72.7","27.3","0.0","0.0","6","3","3","2","2","1","0","0","0","0","0","0","0","0","3","3","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","360","11968","WEB DESIGN","Lee,Erika Biga","38","50",""," 3.666"," 3.450","84.4","76.3","15.8","5.3","2.6","12","8","16","5","5","1","0","1","1","0","0","1","0","0","6","5","1","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","360","9620","WEB DESIGN","Lee,Erika Biga","47","50",""," 3.526"," 3.428","85.4","55.3","36.2","8.5","0.0","3","6","14","6","13","3","1","3","1","0","0","0","0","0","1","2","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","369","10438","PERFORMANCE ANALYTICS","Radicchi,Filippo","70","74",""," 3.763"," 3.306","87.1","78.6","20.0","1.4","0.0","4","13","30","12","9","5","0","1","0","0","0","0","0","0","0","4","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","370","10727","METHODS FOR HCC","Richert,Daniel John","47","51",""," 3.772"," 3.290","93.9","78.7","19.1","2.1","0.0","4","21","14","2","5","2","2","0","1","0","0","0","0","0","2","2","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","390","9003","UNDERGRADUATE INDPT STUDY","Su,Norman","12","15",""," 4.000"," 3.483","80","100.0","0.0","0.0","0.0","3","4","8","0","0","0","0","0","0","0","0","0","0","0","2","0","1","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","391","4889","PROFESSIONAL INTERNSHIP","Paul,LJ","0","1","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","391","5642","PROFESSIONAL INTERNSHIP","Thacker,Una","40","40",""," 3.910"," 3.509","72.5","95.0","2.5","2.5","0.0","0","35","1","2","0","1","0","0","1","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","399","10824","CURRENT TOPICS IN INFORMATICS","Simms,Jennifer","65","69",""," 3.923"," 3.682","4.3","96.9","1.5","0.0","0.0","5","49","13","1","1","0","0","0","0","0","0","0","0","1","2","0","2","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","399","11322","CURRENT TOPICS IN INFORMATICS","Hottell,Matthew","35","43",""," 3.311"," 3.158","84.6","51.4","34.3","14.3","0.0","8","0","7","11","6","6","0","0","3","2","0","0","0","0","4","4","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","399","11399","CURRENT TOPICS IN INFORMATICS","Lee,Erika Biga","26","30",""," 3.577"," 3.414","92.9","76.9","7.7","11.5","3.8","4","8","8","4","1","1","0","2","1","0","1","0","0","0","1","2","0","0","0","0","0","0","1","0","06-11-2021"
"SP21","4212","8W1","Eight Week - First","INFO","INFO-I","399","11400","CURRENT TOPICS IN INFORMATICS","Pierz,Daniel Matthew","24","27",""," 3.988"," 3.348","83.3","100.0","0.0","0.0","0.0","3","2","21","1","0","0","0","0","0","0","0","0","0","0","0","3","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","399","9447","CURRENT TOPICS IN INFORMATICS","Demarest,Bradford Finch","22","27",""," 3.514"," 3.431","76.9","68.2","18.2","9.1","4.5","5","8","7","0","2","1","1","0","2","0","0","1","0","0","4","1","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","400","10074","TOPICS IN INFORMATICS","Wood,Justin Newell","26","30",""," 3.631"," 3.280","78.6","69.2","26.9","3.8","0.0","4","2","13","3","3","3","1","0","0","1","0","0","0","0","2","2","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","400","10462","TOPICS IN INFORMATICS","Blevis,Shunying An","26","34",""," 3.754"," 3.251","88.5","84.6","15.4","0.0","0.0","8","1","11","10","3","0","1","0","0","0","0","0","0","0","0","8","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","400","11370","TOPICS IN INFORMATICS","Ekbia,Hamid","38","45",""," 3.308"," 3.176","80","52.6","34.2","7.9","2.6","8","2","13","5","4","5","4","3","0","0","1","0","0","1","2","5","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","400","11374","TOPICS IN INFORMATICS","Terrell,Jennifer Anne","16","18",""," 2.500"," 3.167","87.5","18.8","43.8","18.8","6.3","4","1","1","1","1","3","3","2","1","0","1","0","0","2","0","2","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","400","13638","TOPICS IN INFORMATICS","Wood,Brian William","20","24",""," 3.335"," 3.190","77.3","75.0","5.0","10.0","0.0","6","13","0","2","1","0","0","1","0","1","0","0","0","2","2","2","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","WNT","Winter Session","INFO","INFO-I","400","31765","TOPICS IN INFORMATICS","Wood,Brian William","13","22",""," 3.946"," 3.450","56.3","92.3","7.7","0.0","0.0","9","12","0","0","1","0","0","0","0","0","0","0","0","0","3","6","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","3W1","Three Week","INFO","INFO-I","400","31849","TOPICS IN INFORMATICS","Caldeira,Clara","5","15","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","400","34758","TOPICS IN INFORMATICS","Ensmenger,Nathan","25","29",""," 3.424"," 3.166","96.4","56.0","36.0","4.0","0.0","5","4","6","4","5","4","0","1","0","0","0","0","0","1","2","1","1","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","400","34821","TOPICS IN INFORMATICS","Kavousian,Shabnam","27","31",""," 3.741"," 3.188","93.1","85.2","11.1","0.0","0.0","5","13","9","1","2","0","1","0","0","0","0","0","0","1","2","2","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","400","36722","TOPICS IN INFORMATICS","Nti Asare,Isak","16","31",""," 3.963"," 3.059","62.5","100.0","0.0","0.0","0.0","15","1","13","2","0","0","0","0","0","0","0","0","0","0","7","7","1","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","400","38439","TOPICS IN INFORMATICS","Haghverdi,Esfandiar","4","5","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","400","6000","TOPICS IN INFORMATICS","Wood,Brian William","20","26",""," 3.785"," 3.191","91.7","80.0","20.0","0.0","0.0","6","11","4","1","0","4","0","0","0","0","0","0","0","0","2","2","2","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","400","8273","TOPICS IN INFORMATICS","Habeeb,Dana","22","23",""," 3.418"," 3.166","81.8","68.2","22.7","4.5","0.0","2","4","6","5","1","3","1","0","0","1","0","0","0","1","0","1","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","400","9416","TOPICS IN INFORMATICS","Paolillo,John C.","32","41",""," 3.397"," 3.165","88.9","43.8","53.1","3.1","0.0","9","4","5","5","9","3","5","0","1","0","0","0","0","0","4","5","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","413","36828","USABLE ARTIFICIAL INTELLIGENCE","Shih,Patrick C","17","19",""," 3.335"," 2.988","72.2","58.8","17.6","23.5","0.0","2","0","8","2","0","2","1","2","2","0","0","0","0","0","1","1","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","1","Regular Academic Session","INFO","INFO-I","433","7831","SYST&PROTCL SEC&INFO ASSURANCE","Xing,Luyi","19","19",""," 3.926"," 3.400","89.5","89.5","10.5","0.0","0.0","0","9","8","0","2","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","06-11-2021"
"SP21","4212","13W","Thirteen Week","INFO","INFO-I","437","37236","DESIGN STRATEGY","Merritt,Samantha S","3","3","NOT AVAILABLE - SMALL CLASS SIZE","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","NR","06-11-2021"
